"The Region has been deleted.","The Region has been deleted."
"We can\'t delete the region right now. Please review the log and try again.","We can\'t delete the region right now. Please review the log and try again."
"The region with id "%1" does not exist.","The region with id "%1" does not exist."
"Please correct the regions you requested.","Please correct the regions you requested."
"You deleted a total of %1 records.","You deleted a total of %1 records."
"We can\'t delete these regions right now. Please review the log and try again.","We can\'t delete these regions right now. Please review the log and try again."
"A total of %1 record(s) have been modified.","A total of %1 record(s) have been modified."
"We can\'t change status these regions right now. Please review the log and try again.","We can\'t change status these regions right now. Please review the log and try again."
"New Region","New Region"
"We can\'t save the region right now. Please review the log and try again.","We can\'t save the region right now. Please review the log and try again."
"The Region has been saved.","The Region has been saved."
"We can\'t validate the region right now. Please review the log and try again.","We can\'t validate the region right now. Please review the log and try again."
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save &amp; Continue","Save &amp; Continue"
"Save &amp; Close","Save &amp; Close"
"Save &amp; New","Save &amp; New"
"General Information","General Information"
"Region Code","Region Code"
"Default Name","Default Name"
"Labels","Labels"
"Add Label","Add Label"
"Language","Language"
"Region Name","Region Name"
"Delete selected items?","Delete selected items?"
"Region ID","Region ID"
